regname,zno_year,avghistball100,avghistball,avghistball12
Вінницька область,2019,134.4660043093129040,41.5404596600430931,7.3966488119763769
Вінницька область,2020,133.5556752873563218,38.8158045977011494,7.2719920779006437
Волинська область,2019,136.1499013806706114,42.5150963434987104,7.5224296005239031
Волинська область,2020,135.2875251509054326,39.7792756539235412,7.3664766248574686
Дніпропетровська область,2019,134.2658395483376316,41.3871192583815432,7.4024803637866887
Дніпропетровська область,2020,131.9281522601110230,37.7801744647105472,7.0808691544638640
Донецька область,2019,135.4705131649650725,42.1436055883933369,7.5208070617906683
Донецька область,2020,131.5660740028832292,37.8561588979657216,7.1848010560060343
Житомирська область,2019,134.1915543716703228,41.4592604199310561,7.4312761696704897
Житомирська область,2020,132.6308847774317641,38.2205532148745191,7.1847599164926931
Закарпатська область,2019,127.7058113329040567,38.5507083065035415,6.9955025082165715
Закарпатська область,2020,129.9193201376936317,37.0892857142857143,7.0322656067336918
Запорізька область,2019,133.2394390581717452,40.8093259464450600,7.3827309236947791
Запорізька область,2020,130.9957777777777778,37.4395555555555556,7.1026311204042516
Івано-Франківська область,2019,135.0252702512986101,42.1629931208760354,7.5174716570896102
Івано-Франківська область,2020,136.6746098338647424,40.9491525423728814,7.4687267311988086
Київська область,2019,136.6020141250326968,42.5795187025895893,7.5439828955406231
Київська область,2020,133.7811318009892348,38.8530695373872563,7.2704205769899201
Кіровоградська область,2019,135.6552088221492257,42.1480525574847489,7.5493333333333333
Кіровоградська область,2020,132.4924133982250215,38.2178643000286287,7.1315356790529431
Луганська область,2019,134.0495974698102358,41.1394479585968948,7.3944276602886875
Луганська область,2020,132.0507709665287702,37.7506581421587063,7.1735798016230839
Львівська область,2019,139.9698632196001804,44.8502931008567564,7.7731416549789621
Львівська область,2020,141.2765114415457217,43.6207817647582584,7.8368611254517295
м.Київ,2019,140.6758143991240077,44.7617711470024637,7.8765697290152016
м.Київ,2020,138.2044223826714801,41.4684115523465704,7.5619547801317429
Миколаївська область,2019,131.9119197243056963,40.2430569633083316,7.2723444080486664
Миколаївська область,2020,130.3373423633815974,36.8858010275572163,7.0244964616222101
Одеська область,2019,133.0146443514644351,40.7802351065949392,7.3283279704445239
Одеська область,2020,131.2200047376524932,37.4433258320502191,7.0742204035558064
Полтавська область,2019,135.8654337693579913,42.1411817771763645,7.5055002619172342
Полтавська область,2020,133.1554507527661890,38.6025757300925086,7.2194357366771160
Рівненська область,2019,133.2726971942826893,41.1299629433562732,7.3251743275935677
Рівненська область,2020,135.5670443814919736,40.1960339943342776,7.3565162907268170
Сумська область,2019,135.9359731270358306,42.3446661237785016,7.5696855936180197
Сумська область,2020,134.7534175909208151,39.4663399535723498,7.3903177004538578
Тернопільська область,2019,136.2924379053947160,42.6079734219269103,7.5539889958734525
Тернопільська область,2020,137.9610456705930977,41.5139491630502170,7.5885368126747437
Харківська область,2019,138.5421350968351441,43.5043930089749646,7.6393424036281179
Харківська область,2020,135.1958097038437303,39.6434572568788070,7.3733068224182925
Херсонська область,2019,132.2094543387646836,40.3497536945812808,7.2682663207955037
Херсонська область,2020,131.7137818090199043,37.6827916351725876,7.1103859250851305
Хмельницька область,2019,136.5789821061894984,42.6026694045174538,7.5605395741914513
Хмельницька область,2020,135.6108715184186882,39.9581311769991015,7.3977181745396317
Черкаська область,2019,137.6746349269853971,42.9331866373274655,7.6295201273595633
Черкаська область,2020,133.8271449548982589,38.8244178728760227,7.2139434595112602
Чернівецька область,2019,131.0922539552085474,40.1035545510581467,7.1635629347094458
Чернівецька область,2020,133.4536685179771996,38.9257527038877521,7.2346839546191248
Чернігівська область,2019,136.5466653512233623,42.6024072612470403,7.4958810068649886
Чернігівська область,2020,134.7944351163348525,39.5408970976253298,7.3474903474903475
